,publisher_id,num_skus,num_products,num_retailers,total_points,points_mean,importance_mode,remaining_lifecycle_months_mean,num_geographies,num_listings,weighted_score
447,872,6,2,27,1188,28.285714285714285,2.0,59.142857142857146,12,42,2812.3714285714286
279,623,9,3,35,1175,16.785714285714285,2.0,9.17142857142857,17,70,2998.0442857142853
75,243,10,3,35,1149,30.236842105263158,2.0,-8.578947368421053,16,38,2623.35
270,612,3,2,5,1080,120.0,4.0,7.222222222222222,1,9,2353.1777777777775
277,621,12,4,65,1137,10.336363636363636,3.0,9.854545454545455,48,110,3258.086363636364
63,171,3,1,37,1122,29.526315789473685,4.0,16.0,17,38,2591.373684210526
206,476,16,7,38,1108,13.349397590361447,3.0,17.903614457831324,16,83,2985.0373493975903
308,663,18,6,33,1087,15.753623188405797,3.0,4.797101449275362,18,69,2804.9159420289857
214,484,7,3,70,1084,13.897435897435898,4.0,5.9743589743589745,57,78,2827.287179487179
275,619,18,3,43,1062,17.40983606557377,2.0,9.032786885245901,19,61,2662.1950819672134
147,372,7,1,37,1062,28.7027027027027,3.0,-2.0,17,37,2443.5324324324324
203,471,2,2,90,1086,12.066666666666666,4.0,6.0,53,90,2912.76
157,394,4,2,98,1084,10.94949494949495,5.0,16.181818181818183,61,99,2990.4
430,852,7,3,7,1016,67.73333333333333,4.0,2.2666666666666666,4,15,2227.4733333333334
362,761,5,2,48,1046,20.50980392156863,5.0,20.0,44,51,2543.858823529412
144,357,4,3,100,1082,10.82,4.0,6.0,56,100,2981.9379999999996
172,416,6,1,79,1057,13.379746835443038,4.0,-1.0,57,79,2761.7417721518987
383,787,11,4,68,1010,11.882352941176471,4.0,14.541176470588235,51,85,2754.727058823529
302,656,4,2,7,952,86.54545454545455,2.0,5.7272727272727275,4,11,2080.2727272727275
247,541,8,1,51,992,18.71698113207547,4.0,6.0,25,53,2433.945283018868
188,441,14,3,62,985,12.468354430379748,3.0,13.265822784810126,46,79,2654.5341772151896
311,666,13,2,42,953,15.370967741935484,2.0,-6.0,20,62,2445.9338709677418
143,356,4,2,105,978,9.314285714285715,5.0,4.380952380952381,57,105,2813.087619047619
417,837,2,2,40,910,11.375,4.0,26.5,40,80,2575.2375
240,531,5,1,27,926,31.93103448275862,3.0,-3.0,14,29,2114.3379310344826
339,729,6,1,50,919,18.38,2.0,31.0,21,50,2278.8419999999996
329,689,7,1,37,912,24.64864864864865,2.0,25.0,18,37,2160.883783783784
342,732,8,2,56,923,14.887096774193548,3.0,5.870967741935484,21,62,2370.2951612903225
259,598,7,1,34,900,23.076923076923077,4.0,25.0,16,39,2162.669230769231
286,634,3,1,31,908,29.29032258064516,3.0,-9.0,15,31,2084.261290322581
134,343,7,2,48,902,18.04,4.0,25.0,24,50,2243.936
398,806,12,3,20,857,18.630434782608695,4.0,29.717391304347824,12,46,2169.5413043478256
288,636,3,1,20,856,42.8,3.0,-12.0,10,20,1901.52
233,516,5,1,77,863,11.064102564102564,5.0,21.0,57,78,2384.4576923076925
338,728,6,1,53,846,15.666666666666666,2.0,31.0,20,54,2164.2999999999997
260,599,16,6,23,830,19.761904761904763,3.0,13.80952380952381,12,42,2052.133333333333
324,682,5,2,42,829,18.42222222222222,2.0,27.8,40,45,2063.72
151,381,7,5,52,828,14.785714285714286,5.0,5.428571428571429,50,56,2129.65
401,809,7,2,16,787,34.21739130434783,3.0,18.17391304347826,9,23,1814.8347826086958
150,378,5,4,51,799,15.075471698113208,5.0,17.81132075471698,49,53,2055.7169811320755
380,784,7,4,52,802,15.132075471698114,5.0,11.0,45,53,2052.9188679245285
70,228,7,4,47,768,14.49056603773585,5.0,71.77358490566037,45,53,2042.9603773584904
211,481,2,1,52,779,14.98076923076923,4.0,17.0,49,52,2006.7826923076923
406,824,9,3,8,736,35.04761904761905,4.0,37.333333333333336,4,21,1723.109523809524
332,712,7,3,15,735,45.9375,3.0,22.125,8,16,1655.44375
343,733,7,2,30,742,18.097560975609756,3.0,34.609756097560975,14,41,1875.9756097560976
258,597,5,1,26,710,20.285714285714285,3.0,27.0,12,35,1757.6571428571428
209,479,2,1,50,727,14.54,4.0,18.0,49,50,1887.186
180,425,2,2,50,727,14.54,5.0,3.62,49,50,1875.382
50,68,6,5,33,716,18.842105263157894,4.0,6.815789473684211,24,38,1765.6105263157895
185,438,6,3,12,676,37.55555555555556,4.0,18.88888888888889,7,18,1554.411111111111
68,215,6,2,37,691,12.339285714285714,3.0,13.0,20,56,1888.6053571428572
136,347,3,2,59,682,11.559322033898304,4.0,10.0,58,59,1859.5033898305085
341,731,5,1,43,658,14.304347826086957,2.0,31.0,18,46,1727.3739130434783
326,686,4,2,5,603,100.5,2.0,7.666666666666667,2,6,1350.1833333333334
272,615,5,1,48,635,12.7,2.0,28.0,20,50,1707.73
231,514,3,2,53,638,10.290322580645162,4.0,4.838709677419355,53,62,1807.732258064516
230,513,4,2,51,630,12.352941176470589,4.0,-0.5294117647058824,49,51,1682.394117647059
327,687,3,1,4,564,80.57142857142857,2.0,24.0,3,7,1280.9142857142856
294,648,6,1,12,588,49.0,3.0,0.0,8,12,1314.9999999999998
221,504,1,1,49,607,12.387755102040817,4.0,18.0,49,49,1637.7489795918368
213,483,1,1,49,607,12.387755102040817,4.0,15.0,49,49,1635.3489795918367
215,486,1,1,49,607,12.387755102040817,4.0,11.0,49,49,1632.1489795918367
301,655,4,1,22,598,26.0,2.0,-12.0,11,23,1395.3
120,323,1,1,49,607,12.387755102040817,4.0,5.0,49,49,1627.3489795918367
431,854,4,1,9,565,62.77777777777778,3.0,10.0,6,9,1266.1999999999998
352,743,6,2,19,566,20.214285714285715,2.0,34.0,9,28,1416.692857142857
292,646,5,1,25,580,23.2,3.0,-4.0,13,25,1377.5800000000002
159,399,2,2,41,575,14.024390243902438,5.0,31.048780487804876,41,41,1520.0609756097558
411,830,2,1,41,575,14.024390243902438,3.0,31.0,41,41,1519.621951219512
410,829,2,1,41,575,14.024390243902438,4.0,30.0,41,41,1519.521951219512
422,842,2,1,41,575,14.024390243902438,2.0,29.0,41,41,1517.321951219512
419,839,2,2,41,575,14.024390243902438,4.0,27.317073170731707,41,41,1516.3756097560974
429,851,2,1,41,575,14.024390243902438,4.0,23.0,41,41,1513.921951219512
435,858,2,1,41,575,14.024390243902438,4.0,22.0,41,41,1513.121951219512
183,429,5,1,29,576,19.2,4.0,-3.0,20,30,1410.18
378,781,4,2,47,574,11.958333333333334,4.0,27.75,45,48,1570.2625
452,881,3,2,4,520,104.0,3.0,8.0,2,5,1180.8
319,675,6,2,26,565,14.487179487179487,3.0,7.358974358974359,20,39,1486.0256410256409
101,285,5,1,59,591,10.016949152542374,3.0,-2.0,49,59,1664.9152542372883
428,850,2,2,40,574,14.35,4.0,10.75,40,40,1493.315
267,609,3,1,30,565,18.225806451612904,3.0,10.0,19,31,1405.9032258064517
201,460,6,2,19,552,27.6,4.0,11.5,13,20,1299.1399999999999
242,534,8,4,5,522,65.25,3.0,29.5,3,8,1190.725
66,207,4,1,51,566,10.884615384615385,3.0,13.0,47,52,1573.996153846154
132,338,2,1,57,558,9.789473684210526,3.0,24.0,57,57,1605.8105263157897
